0.000000	0.000000	#1: -179,34
49.000000	49.000000	298,9
0.000000	0.000000	#2: -42,12
49.000000	49.000000	-343,23
0.000000	0.000000	#3: 11,75
49.000000	49.000000	-171,-10
0.000000	0.000000	#4: -19,24
49.000000	49.000000	53,-13
0.000000	0.000000	#5: -98,-14
49.000000	49.000000	-301,18
0.000000	0.000000	#6: -174,8
49.000000	49.000000	-261,63
0.000000	0.000000	#7: -207,63
49.000000	49.000000	-242,26
0.000000	0.000000	#8: -188,84
49.000000	49.000000	-32,-7
0.000000	0.000000	#9: 193,87
49.000000	49.000000	150,22
0.000000	0.000000	#10: 315,87
49.000000	49.000000	-61,26
0.000000	0.000000	#11: 217,-21
49.000000	49.000000	-275,83
0.000000	0.000000	#12: 96,47
49.000000	49.000000	33,43
0.000000	0.000000	#13: -354,22
49.000000	49.000000	-246,29
0.000000	0.000000	#14: 157,33
49.000000	49.000000	-152,41
0.000000	0.000000	#15: -36,50
49.000000	49.000000	331,54
0.000000	0.000000	#16: -186,52
49.000000	49.000000	263,34
0.000000	0.000000	#17: 293,38
49.000000	49.000000	-114,42
0.000000	0.000000	#18: 210,56
49.000000	49.000000	-337,69
0.000000	0.000000	#19: -29,50
49.000000	49.000000	219,50
0.000000	0.000000	#20: 236,64
49.000000	49.000000	137,25
0.000000	0.000000	#21: -201,27
49.000000	49.000000	320,37
0.000000	0.000000	#22: -90,36
49.000000	49.000000	107,61
0.000000	0.000000	#23: -246,59
49.000000	49.000000	123,64
0.000000	0.000000	#24: 306,60
49.000000	49.000000	-235,54
0.000000	0.000000	#25: 182,51
49.000000	49.000000	223,56
0.000000	0.000000	#26: 257,47
49.000000	49.000000	356,46
0.000000	0.000000	#27: 129,45
49.000000	49.000000	-25,68
0.000000	0.000000	#28: -123,46
49.000000	49.000000	109,45
0.000000	0.000000	#29: -264,61
49.000000	49.000000	360,58
0.000000	0.000000	#30: 295,-20
49.000000	49.000000	246,6
0.000000	0.000000	#31: -347,71
49.000000	49.000000	342,20
0.000000	0.000000	#32: 213,62
49.000000	49.000000	-331,23
0.000000	0.000000	#33: 120,74
49.000000	49.000000	43,-21
0.000000	0.000000	#34: 184,7
49.000000	49.000000	288,80
0.000000	0.000000	#35: 257,5
49.000000	49.000000	-161,-21
0.000000	0.000000	#36: 125,-22
49.000000	49.000000	-194,-12
0.000000	0.000000	#37: 103,76
49.000000	49.000000	-303,46
0.000000	0.000000	#38: 342,68
49.000000	49.000000	-198,48
